OTU ID	Taxonomy	WINDMILL_farm-Control	WINDMILL_farm-Drought	Castle_Field_West_W-Control	Castle_Field_West_W-Drought	Jemma_6-Control	Jemma_6-Drought	Jemma_9-Control	Jemma_9-Drought	Lardon Chase-Control	Lardon Chase-Drought
c0356e08e317962c922baadafecb1e17	k_Fungi;p_Zoopagomycota;c_Zoopagomycota_cls_Incertae_sedis;o_Zoopagomycota_ord_Incertae_sedis;f_Zoopagomycota_fam_Incertae_sedis;g_Zoopagomycota_gen_Incertae_sedis	0	0	21	18	0	0	0	6	0	0
c0e0609d366944010744a8611a7acc8c	k_Fungi;p_Basidiomycota;c_Tremellomycetes;o_Filobasidiales;f_Piskurozymaceae;g_Piskurozyma	0	0	2	0	0	0	7	0	0	0
c13fa8601ce02184b47291c4625e0362	k_Fungi;p_Basidiomycota;c_Tremellomycetes;o_Cystofilobasidiales;f_Mrakiaceae;g_Tausonia	0	0	0	0	0	0	0	0	14	0
c22e1a799137aa079b218ad016b51579	k_Fungi;p_Ascomycota;c_Sordariomycetes;o_Microascales;f_Microascaceae;g_Microascus	0	0	0	0	0	9	0	0	0	0
c231586db61ce69399eb97e9e97dda7a	k_Fungi;p_Ascomycota;c_Dothideomycetes;o_Pleosporales;f_Didymellaceae;g_Calophoma	0	0	0	0	218	34	0	0	0	0
c322a4a64f1c4e1c6226258dbc988cfe	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_Thelephorales;f_Thelephoraceae;g_Tomentella	4	8	0	0	0	0	0	0	0	0
c3de9eba39feac6647bfe723b77b9acb	k_Fungi;p_Chytridiomycota;c_Rhizophydiomycetes;o_Rhizophydiales;f_Rhizophydiaceae;g_Rhizophydium	0	4	0	0	0	0	0	0	0	0
c543520282cd3cc3f303a45711398f84	k_Fungi;p_Basidiobolomycota;c_Basidiobolomycetes;o_Basidiobolales;f_Basidiobolales_fam_Incertae_sedis;g_Basidiobolales_gen_Incertae_sedis	0	0	18	19	0	0	0	5	0	0
c672c66e6b97eb40c91f61d8548906e2	k_Fungi;p_Ascomycota;c_Dothideomycetes;o_Mycosphaerellales;f_Mycosphaerellaceae;g_Ramularia	0	0	0	0	0	8	0	0	0	0
c69f30acaf6c0b180ea541251cb5d986	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_Phallales;f_Phallaceae;g_Phallus	0	0	0	0	0	0	0	0	15	0
c76ba8d443c6cf2eb71de1ac60c9ec38	k_Fungi;p_Ascomycota;c_Sordariomycetes;o_Hypocreales;f_Clavicipitaceae;g_Metarhizium	328	1146	98	71	0	15	35	101	799	133
c7fc44b6997a0b2dc2ad77d9423eb06d	k_Fungi;p_Ascomycota;c_Sordariomycetes;o_Glomerellales;f_Plectosphaerellaceae;g_Plectosphaerella	1309	995	81	541	468	360	962	326	681	142
c81138ead5fda9034aef0ba069409035	k_Fungi;p_Ascomycota;c_Dothideomycetes;o_Pleosporales;f_Phaeosphaeriaceae;g_Paraphoma	52	39	20	4	17	19	23	28	0	0
c9be14653a588c953722e52a702c35b7	k_Fungi;p_Ascomycota;c_Dothideomycetes;o_Pleosporales;f_Teichosporaceae;g_Pseudocyclothyriella	14	0	0	0	0	0	0	0	8	0
cc96879e33c6453bbf17c26e9e259a9f	k_Fungi;p_Ascomycota;c_Sordariomycetes;o_Hypocreales;f_Cordycipitaceae;g_Lecanicillium	0	0	0	0	0	0	51	0	4	0
cdbd3c488f4db484085e4d67dc735a84	k_Fungi;p_Ascomycota;c_Pezizomycetes;o_Pezizales;f_Pezizaceae;g_Marcelleina	0	0	13	6	6	0	0	0	0	0
ce43b15365a37a9fc1faae17c8b7210d	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_Agaricales;f_Hygrophoraceae;g_Cuphophyllus	0	0	0	0	0	0	0	0	147	0
ceb2350f88faee9f8ff8c5bc2fd393f7	k_Fungi;p_Ascomycota;c_Dothideomycetes;o_Pleosporales;f_Dictyosporiaceae;g_Vikalpa	0	0	16	6	0	0	27	8	0	0
cfda2a9c682f6cdd51cc5286e6b03bc2	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_Agaricales;f_Clavariaceae;g_Clavulinopsis	13	279	19	0	0	0	236	514	60	38
