OTU ID	WINDMILL_farm-Control	WINDMILL_farm-Drought	Castle_Field_West_W-Control	Castle_Field_West_W-Drought	Jemma_6-Control	Jemma_6-Drought	Jemma_9-Control	Jemma_9-Drought	Lardon Chase-Control	Lardon Chase-Drought	Kingdom	Phylum	Class	Order	Family	Genus	Species
4fc4ffc8ad3f63417f3be66e4629739c	0	0	0	13	0	0	0	0	0	0	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascales_fam_Incertae_sedis	Cephalotrichiella	NA
5025f9ace34d113e6387aa2761920bbd	7	67	48	41	39	62	0	30	49	20	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenales_fam_Incertae_sedis	Onygenales_gen_Incertae_sedis	NA
50b1c8ad9b919028c2e32aa329c607a5	0	0	111	96	0	0	0	0	0	0	Fungi	Basidiomycota	Ustilaginomycetes	Urocystidales	Urocystidaceae	Urocystis	NA
50c5388769ed6c4147041784c214ba91	0	2	45	29	0	5	13	2	3	2	Fungi	Zoopagomycota	Zoopagomycetes	Zoopagales	Zoopagales_fam_Incertae_sedis	Zoopagales_gen_Incertae_sedis	NA
50df7a774788db10f26f51db9bc88d6a	0	70	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Leotiomycetes	Helotiales	Pezizellaceae	Calycina	NA
518c1be0d9b6fefe8c8a563733fd99ea	0	0	0	0	0	0	0	2	0	0	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Devriesia	NA
51d39f7245e63e3fc2c01d0532d3fed6	11	0	8	0	0	0	8	0	0	0	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Hypomyces	NA
52a21c107edd8df09a971fa76af060bb	0	0	0	0	0	6	0	0	0	0	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Hypholoma	NA
5432ff4270a70a55ebafbd8ad915da2d	0	0	0	0	0	14	0	0	0	0	Fungi	Ascomycota	Leotiomycetes	Helotiales	Cenangiaceae	Trochila	NA
547fe59dc02b09741cfafbb89e56d862	6	6	48	14	4	4	0	3	1	21	Fungi	Kickxellomycota	Ramicandelaberomycetes	Ramicandelaberales	Ramicandelaberaceae	Ramicandelaber	NA
5594e20da8256b5e1eb31895a54914b8	19	0	110	46	74	40	12	41	19	25	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma	NA
568d6444535e338ea496c50063f934e9	0	10	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Sordariomycetes	Boliniales	Boliniales_fam_Incertae_sedis	Boliniales_gen_Incertae_sedis	NA
5691d9d7eaf213913531d6227263d36c	76	24	0	0	105	67	109	58	39	0	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	NA	NA
5826f3ae2d84e7b10518c0c6063f618d	16	10	0	41	0	34	0	0	6	29	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
589e7998e8647181fd860252d33da429	408	381	75	207	355	412	616	537	403	263	Fungi	Ascomycota	Ascomycota_cls_Incertae_sedis	Ascomycota_ord_Incertae_sedis	Ascomycota_fam_Incertae_sedis	Ascomycota_gen_Incertae_sedis	NA
